"TIME","GEO","SEX","UNIT","AGE","Value","Flag and Footnotes"
"2018","BG343","Frauen","Anzahl","Insgesamt","61.494",""
"2018","BG344","Insgesamt","Anzahl","Insgesamt","319.067",""
"2018","BG344","Männer","Anzahl","Insgesamt","154.706",""
"2018","BG344","Frauen","Anzahl","Insgesamt","164.361",""
"2018","BG4","Insgesamt","Anzahl","Insgesamt","3.525.826",""
"2018","BG4","Männer","Anzahl","Insgesamt","1.705.891",""
"2018","BG4","Frauen","Anzahl","Insgesamt","1.819.935",""
"2018","BG41","Insgesamt","Anzahl","Insgesamt","2.108.394",""
"2018","BG41","Männer","Anzahl","Insgesamt","1.017.361",""
"2018","BG41","Frauen","Anzahl","Insgesamt","1.091.033",""
"2018","BG411","Insgesamt","Anzahl","Insgesamt","1.325.429",""
"2018","BG411","Männer","Anzahl","Insgesamt","635.040",""
"2018","BG411","Frauen","Anzahl","Insgesamt","690.389",""
"2018","BG412","Insgesamt","Anzahl","Insgesamt","231.563",""
"2018","BG412","Männer","Anzahl","Insgesamt","113.849",""
"2018","BG412","Frauen","Anzahl","Insgesamt","117.714",""
"2018","BG413","Insgesamt","Anzahl","Insgesamt","307.882",""
"2018","BG413","Männer","Anzahl","Insgesamt","150.007",""
"2018","BG413","Frauen","Anzahl","Insgesamt","157.875",""
"2018","BG414","Insgesamt","Anzahl","Insgesamt","122.421",""
"2018","BG414","Männer","Anzahl","Insgesamt","59.646",""
"2018","BG414","Frauen","Anzahl","Insgesamt","62.775",""
"2018","BG415","Insgesamt","Anzahl","Insgesamt","121.099",""
"2018","BG415","Männer","Anzahl","Insgesamt","58.819",""
"2018","BG415","Frauen","Anzahl","Insgesamt","62.280",""
"2018","BG42","Insgesamt","Anzahl","Insgesamt","1.417.432",""
"2018","BG42","Männer","Anzahl","Insgesamt","688.530",""
"2018","BG42","Frauen","Anzahl","Insgesamt","728.902",""
"2018","BG421","Insgesamt","Anzahl","Insgesamt","669.796",""
"2018","BG421","Männer","Anzahl","Insgesamt","322.158",""
"2018","BG421","Frauen","Anzahl","Insgesamt","347.638",""
"2018","BG422","Insgesamt","Anzahl","Insgesamt","231.276",""
"2018","BG422","Männer","Anzahl","Insgesamt","113.000",""
"2018","BG422","Frauen","Anzahl","Insgesamt","118.276",""
"2018","BG423","Insgesamt","Anzahl","Insgesamt","257.965",""
"2018","BG423","Männer","Anzahl","Insgesamt","126.454",""
"2018","BG423","Frauen","Anzahl","Insgesamt","131.511",""
"2018","BG424","Insgesamt","Anzahl","Insgesamt","107.282",""
"2018","BG424","Männer","Anzahl","Insgesamt","51.960",""
"2018","BG424","Frauen","Anzahl","Insgesamt","55.322",""
"2018","BG425","Insgesamt","Anzahl","Insgesamt","151.113",""
"2018","BG425","Männer","Anzahl","Insgesamt","74.958",""
"2018","BG425","Frauen","Anzahl","Insgesamt","76.155",""
"2018","CZ","Insgesamt","Anzahl","Insgesamt","10.610.055",""
"2018","CZ","Männer","Anzahl","Insgesamt","5.219.791",""
"2018","CZ","Frauen","Anzahl","Insgesamt","5.390.264",""
"2018","CZ0","Insgesamt","Anzahl","Insgesamt","10.610.055",""
"2018","CZ0","Männer","Anzahl","Insgesamt","5.219.791",""
"2018","CZ0","Frauen","Anzahl","Insgesamt","5.390.264",""
"2018","CZ01","Insgesamt","Anzahl","Insgesamt","1.294.513",""
"2018","CZ01","Männer","Anzahl","Insgesamt","629.550",""
"2018","CZ01","Frauen","Anzahl","Insgesamt","664.963",""
"2018","CZ010","Insgesamt","Anzahl","Insgesamt","1.294.513",""
"2018","CZ010","Männer","Anzahl","Insgesamt","629.550",""
"2018","CZ010","Frauen","Anzahl","Insgesamt","664.963",""
"2018","CZ02","Insgesamt","Anzahl","Insgesamt","1.352.795",""
"2018","CZ02","Männer","Anzahl","Insgesamt","668.102",""
"2018","CZ02","Frauen","Anzahl","Insgesamt","684.693",""
"2018","CZ020","Insgesamt","Anzahl","Insgesamt","1.352.795",""
"2018","CZ020","Männer","Anzahl","Insgesamt","668.102",""
"2018","CZ020","Frauen","Anzahl","Insgesamt","684.693",""
"2018","CZ03","Insgesamt","Anzahl","Insgesamt","1.221.012",""
"2018","CZ03","Männer","Anzahl","Insgesamt","603.857",""
"2018","CZ03","Frauen","Anzahl","Insgesamt","617.155",""
"2018","CZ031","Insgesamt","Anzahl","Insgesamt","640.196",""
"2018","CZ031","Männer","Anzahl","Insgesamt","316.013",""
